大宁今天砸的话，那就是双峰贯耳了，左右开弓更有节奏感，更有持续性,03-16
$中钨高新(SZ000657)$买因1.同为钨公司2021年：才13元中钨，比6,03-15
中钨高新的最大看点莫过于对日韩的中高端刀具国产替代，尤其是在军工和航天方面，具可,03-15
//@坚定即胜 :$中钨高新(SZ000657)$购买亮点1钨矿山。公司难熔金属,03-15
$宁德时代(SZ300750)$买入贵州茅台和宁德时代组合，长期持有，跑赢整个市,03-15
明日开的不高直接搞，憋坏了！,03-15
A股市场异动点评：多因素致A股大跌，现阶段仍需保持耐心、等待市场风险偏好从低位抬升,03-15
招商基金管理有限公司,03-15
涨了4年，休息一年不行吗？,03-15
宁德不不跌，看戏为上策。,03-15
外资整天卖卖卖，机构整天拿着别人的钱抬抬抬。,03-15
$宁德时代(SZ300750)$还有巨大下跌空间，创业板指数从2500杀到170,03-15
$宁德时代(SZ300750)$这泡沫也不知道跌到啥时候，今天竟然奇葩红了，不知,03-15
今天抄底的明天被埋，惨啊,03-15
$宁德时代(SZ300750)$明天带领创业板起飞[大笑],03-15
怎么大的盘子跌到50差不多。买这种股的人长脑子了吗？,03-15
转发,03-15
逢高融券做空，一个卖电池的供应商，也能炒到万亿市值，真是笑话,03-15
恐怖万孚生物VS最强华大基因,03-15
外资跑光了，托不了了,03-15
$宁德时代(SZ300750)$明天只做一件事：只看不买。就算反弹，也要相信只是,03-15
明天宁茅又开始带领创业板狂跌[鼓掌][鼓掌][鼓掌],03-15
牛批,03-15
初云股票量化模式，再次展示超强的抗击打能力,03-15
$宁德时代(SZ300750)$宁德时代的市值超过了中石油，它何德何能啊,03-15
$宁德时代(SZ300750)$你也应该一起跌！跌到300左右！,03-15
【风口研报】未来两年业绩有望增长700%，这家锂电细分上游设备公司实现4680电池技术突破，现已卡位“新能源+汽车+电子”多领域,03-15
二百多那个缺口。。。,03-15
$精华制药(SZ002349)$$宁德时代(SZ300750)$老铁们，2022,03-15
引入STHAN-SR算法，周一调仓计划,03-15
继续补跌啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊300见,03-15
今日不跌必有妖，明日涨涨涨涨停,03-15
暴跌下的A股究竟是机会还是风险？,03-15
锂电池不是什么高科技，三流国家都能造，别人不造的原因：太污染，会土地水源致癌,03-15
$宁德时代(SZ300750)$该跌不跌,03-15
又是暗淡的一天，未来会有光明吗？,03-15
1.37亿吨镍解青山之危？中国中冶作何启示？,03-15
中国中冶1.37亿吨镍融合比亚迪宁德时代锁定国内动力电池市场70%,03-15
中一科技：九成流动资产未形成现金流 与宁德时代关系“暧昧”,03-15
 《证券市场周刊》杂志社（北京）有限公司,03-15
这股跌破200，大盘就起来了,03-15
大盘大跌5%，超强量化模式只跌0.7%,03-15
"今日北上资金净卖出160.24亿, 贵州茅台、宁德时代等公司上榜十大成交活跃股",03-15
通联数据股份公司,03-15
从30块涨到快700块已经是超级大牛股了,03-15
【国金新能源与汽车】周报：顶层政策再临，发展新能源态度坚定,03-15
国金证券股份有限公司上海投资咨询分公司,03-15
今天该跌不跌，明天留着砸盘用,03-15
不容易，宁王以一己之力，苦撑创业板。,03-15
2022年3月15日复盘（弱势行情，控制仓位是第一要务）,03-15
茅台为什么不可以给15倍PE？,03-15
就一个重资产周期制造业，如京东方,03-15
$宁德时代(SZ300750)$宁王的机构有血性有良性，宁王yyds！,03-15
$宁德时代(SZ300750)$明天速度买入宁德时代，打爆空头,03-15
$远方信息(SZ300306)$$宁德时代(SZ300750)$$金种子酒(SH,03-15
宁德时代不过类似面板行业的京东方,03-15
基金收评丨白酒、医疗大跌，还能操作吗？,03-15
独立基金观察员,03-15
$宁德时代(SZ300750)$机构是真疯狂，等指数回来了，坚决清仓基金自己炒股,03-15
明天到你了，。,03-15
在“双碳”目标引领下，储能产业迎来历史性发展机遇,03-15
建信基金管理公司,03-15
$宁德时代(SZ300750)$听说美国巴菲特已经开始抄底宁德了[买入][买入],03-15
对标宁德时代，合理定位26元附近,03-15
$宁德时代(SZ300750)$99亿救宁德市场一点感觉都没有，99亿至少可以救,03-15
中国人买汽车的价位所占比例：,03-15
北向资金今日净卖出87亿元 抛售宁德时代超26亿元,03-15
$宁德时代(SZ300750)$这死不要脸的东西还不敢跌，未来长线50年空头。一,03-15
$宁德时代(SZ300750)$不得不撑着，不然基民大批赎回就悲剧了。,03-15
持仓及自选就你是红色滴,03-15
暴风骤雨的今天，我的超强量化模式依然大涨1.39%,03-15
3月15日个人实盘ETF基金净值更新。今日无操作，目前投入114份，投入金额22,03-15
这两周多亏买宁德时代了，其它票跌的没个样子了，就这一只赚钱的票[大笑],03-15
宁德时代的资金流入流出并不会影响别的股票，为什么那么多人对它意见那么大？宁德时代,03-15
宁王的估值分析[发财],03-15
比亚迪汉DM-i/DM-p正式官宣，A股市场磨底期可能进一步拉长,03-15
$宁德时代(SZ300750)$股票机会在散户的绝望中产生，在散户的犹豫中前进，,03-15
说吧今天跌几个点,03-15
宁德时代的底在哪？创业板的底就在哪？想赚钱，大概率上需要宁德时代发挥最重要的作用,03-15
应该是机构抱团了,03-15
20年大阳柱砍掉一半，再砸拨恐慌就齐活，有钱你就填,03-15
非要逆市托着干嘛，像茅台一样大跌5个点大盘跌8个点早点下去不好吗。明天补跌吧你。,03-15
明天来个负的20cm,03-15
转发,03-15
[强壮]功德无量[赞]抗揍险峰[拳头],03-15
中一科技：九成流动资产未形成现金流 与宁德时代关系“暧昧”,03-15
证券市场周刊杂志社（北京）有限公司,03-15
活久见！恒生科技单日跌11%，A50回撤少点，少亏即是赚~,03-15
独立财经评论员,03-15
沪深股通十大成交活跃股（03-15）,03-15
【梧桐小语】跌破3100！一直跌的根本原因找到了！,03-15
建信基金管理公司,03-15
A股“磨底” 价值成长有望共振上行,03-15
建信基金管理公司,03-15
$宁德时代(SZ300750)$感谢投资者的资金让我们扩大企业规模，建房办厂，谢,03-15
不畏浮云遮望眼，只缘身在最高层,03-15
$宁德时代(SZ300750)$我研究股票快十年了，预测个股的走势还是颇有心得，,03-15
虽然我没买，看样子埋了不少人,03-15
$宁德时代(SZ300750)$这货在这么高位置，谁敢买创业板，他不跌下来创业板,03-15
成交额99亿，外资成交35亿。护盘哪里护的动啊，人家筹码太多,03-15
制裁俄罗斯，俄罗斯股市一天暴跌30%，连续暴跌，都没法开盘了。,03-15
内资主力“净买入”15股，名单来了：宁德时代（22.88亿）1.84%贵州茅台（,03-15
那些拥抱赛道的公募基金不值得同情，不过是盈亏同源。却没有做好风险控制和安全边际管,03-15
小鹏汽车，最近有点烦,03-15
转发,03-15
$宁德时代(SZ300750)$相信我，今年必定突破700元，做时间的朋友,03-15
工信部：全力保持工业经济平稳运行,03-15
建信基金管理公司,03-15
$宁德时代(SZ300750)$外资大卖出还大红盘，这是有暗厢操作吗,03-15
明天你带节奏，接着揍,03-15
$宁德时代(SZ300750)$明天-20%？,03-15
转发,03-15
$宁德时代(SZ300750)$明天就到你了，别高兴的太早[大笑],03-15
该股不补跌，创业板永不见底。,03-15
$宁德时代(SZ300750)$还在强拉股票，下个暴跌的就是你了，最后一根稻草。,03-15
中国中冶高成长必须经历的“三个阶段”,03-15
明天该你表演了，尾盘板！,03-15
转发,03-15
继续T，就是有点费钱 哈哈哈,03-15
蔚小理“扶持”欣旺达，对抗宁德时代,03-15
宁德时代没有理由不看好的！,03-15
【超跌板块】新能源车回暖，这些细分活力持续！,03-15
宁德时代以目标价格350―380来看，创业板至少要回到2300―2400附近，只,03-15
$宁德时代(SZ300750)$他今天没跌不然创业板就不止这点了,03-15
$宁德时代(SZ300750)$这股不大跌的话，创业板见不了底部,03-15
今年最火赛道诞生一个IPO，估值600亿,03-15
北京清科创业信息咨询有限公司,03-15
恒指18000点，每天跌1000点，还有18层,03-15
今天锂电板块，宁德时代，赣锋锂业，天齐锂业，华友钴业逆势翻红，应该有大资金护盘或,03-15
100倍的市盈率,03-15
中金给的估价是800，号称从未失算的中金估计得栽在宁德时代上了,03-15
太让人惊讶了，超强量化模式今天再度上涨0.77%,03-15
宁王不跌看来还没到位不抄底,03-15
明天换你下跌了,03-15
不跌是因机构没出玩货，平安恒瑞跌去3分之二！这货能一年赚1500亿？做梦去吧！,03-15
$宁德时代(SZ300750)$继续拉，看看有多少散户有本事接盘。,03-15
$宁德时代(SZ300750)$明天跌停,03-15
今天不跌，明只会跌！,03-15
今天可真是辛苦你了，要是跟风一起砸的话创业板少不了四个点，现在只希望明天不要在撑,03-15
宁王大涨超4%，锂电板块集体回暖，智能电动车ETF实现强势反包！,03-15
今天你没跌，大盘怎么还跌那么多，如果你也大跌了，那大盘跌的更加难看了，明天拉个涨,03-15
A50ETF（159601）能否翻红？,03-15
宁德明天补跌3个点，而且是会在月底探到380一400元，小韭菜盒子、菜花快跑，特,03-15
明天补跌，创业板破2500,03-15
江特电机 短期回调就是买点,03-15
宁德时代,03-15
宁德时代/永福股份成立新公司 经营范围含新能源汽车整车销售,03-15
爱集微咨询（厦门）有限公司,03-15
镍价暴涨 宁德时代一度跌至443元,03-15
宁德时代再跌一下必到三千以下，这家伙还没跌呢，叠起来一天可以20厘米,03-15
明天要带着大盘扑街了,03-15
零德就是无德嘛,03-15
“黑天鹅”不会改变股市长期运行逻辑,03-15
建信基金管理公司,03-15
事实证明。宁德时代的每一次反弹都是逃命机会，均线不抹平坚决不加仓,03-15
一季度整体淡季不淡，新能源汽车后市机会怎么看？,03-15
招商基金管理有限公司,03-15
一家电池加工厂，市值一万亿，大笑话，最后把大盘托下来的就是你，你看海外的龙头，松,03-15
不是有机构说要涨到800元吗？算不算欺诈？不用负责任的吗？,03-15
完了明天要跳空低开[哭][哭][哭],03-15
2022.3.15 复盘,03-15
只值20元的股，非要炒这么高，股市从来不缺韭菜！,03-15
转发,03-15
大泡沫股，看你撑到几时。,03-15
只出不进，抓紧市盈率仍在近200倍的宁德时代短暂拉指数时，被套者要抓紧解套出逃,03-15
每次护盘就这一招，能不能换点花样,03-15
中信昨加仓空单5628手，这个一边出做多报告，一边堆积大量空单的牛鬼蛇神，当没收,03-15
操作策略丨白酒、医疗、新能源的今日策略,03-15
独立基金观察员,03-15
转发,03-15
买入买入。下午暴涨,03-15
买买买买买买买买买买买买，明天大涨，明天大涨，明天大涨，明天大涨，明天大涨,03-15
今天不跌的，明天补跌,03-15
$宁德时代(SZ300750)$威马汽车三天，四起自然，电池供应商有四个，分别是,03-15
幸好今天宁德不拉胯，不然创业板奔5个点去了,03-15
$宁德时代(SZ300750)$大佬的身价狂跌，是时候上位了,03-15
说句不好听的$宁德时代(SZ300750)$还没有开始跳水呢,03-15
$宁德时代(SZ300750)$创业板1800点才是底呢，给图表派走个双顶结构磨,03-15
你凭什么不跌的,03-15
看着走势下下一个中概,03-15
$宁德时代(SZ300750)$废物呀，这疼一天就特么涨2毛钱，废物,03-15
$宁德时代(SZ300750)$宁德不死，大盘不起,03-15
这些鸡狗为了让人接盘无所不用其极，把外围全砸，就一个缺口让人好接盘，一旦有人上当,03-15
今年这波混合双打，非常漂亮，打出了世界冠军的气质,03-15
今天创业板多亏了宁王，明天就不好说了,03-15
宁德时代还有巨大跌幅空间,03-15
$宁德时代(SZ300750)$主力最大的失败就是拉升了宁德时代。,03-15
$宁德时代(SZ300750)$你以为你能拉起来吗，太天真了,03-15
$上证指数(SH000001)$$创业板(SZ395004)$$宁德时代(SZ3,03-15
宁德居功至伟！今天不是拉住宁德，估计创业板也是5点起步,03-15
0315早盘简评和午后市场展望：创指反弹上涨，证券板块午后有望拉升,03-15
你凭啥不跌？,03-15
宁王：今天大盘跌可不怨我！,03-15
外围影响趋弱，A股探底回升，智能电动车ETF（516380）两连阳！,03-15
$宁德时代(SZ300750)$真TMD的稳压,03-15
这一次是否还会一样？,03-15
$宁德时代(SZ300750)$这种企业竟有1万多亿元的市值，想想都害怕。,03-15
看这架势不把基民耗干不罢休啊。,03-15
$宁德时代(SZ300750)$有猫腻，挺住,03-15
$宁德时代(SZ300750)$天呐现在是不是可以进去了,03-15
$宁德时代(SZ300750)$今天没砸死，明天继续,03-15
$宁德时代(SZ300750)$今天它尽力了，指数下跌真和它无关。,03-15
这估值真可怕,03-15
$宁德时代(SZ300750)$破做电池的，故事讲的不错，还是90再买吧,03-15
机构爆仓票，跌不下去，看来真的是奔千元的方向。,03-15
你再护盘也改变不了创业板跌破2000点的命运。,03-15
表现的这么抗跌有潜力,03-15
$宁德时代(SZ300750)$宁王不到250以下创业板没得救,03-15
$宁德时代(SZ300750)$超级风险股,03-15
只有按规矩办事，才能吸引来资本,03-15
厉害了，难怪今天创业板跌的少，原来你小子在顶着[得意],03-15
其不大跌，大盘到不了底,03-15
明天该你表演了靓仔,03-15
$宁德时代(SZ300750)$这股害惨了多少人呢！太缺德了！！！,03-15
哪次大盘不是银行顶着，大盘才见底，宁德这种烂股，拉升有毛作用,03-15
四千多股票还有246家红盘坚挺！,03-15
宁王不补跌，大盘不见底,03-15
英国没收俄罗斯富豪资产，外资在宁德买了1000多亿，你看这些外国佬怕不怕，所以…,03-15
今天大逆转！不要慌，因为慌也没有用，不知道你们买的都是什么，要是像我买新能源车E,03-15
宁德时代大涨0.04％[大笑][鼓掌],03-15
转发,03-15
跳空低开缩量大跌，散户还是缴枪？,03-15
瞧你那波一样,03-15
$宁德时代(SZ300750)$宁德时代今天可以说我不背这个锅了。宁德时代红的时,03-15
硬拉宁德,03-15
你今天不绿，你好意思哦准备明天继续跌吧！出来说句话，狗庄,03-15
转发,03-15
$宁德时代(SZ300750)$宁王稳住啊！！！,03-15
挺住，这样明天好砸,03-15
$宁德时代(SZ300750)$要大跌，创新低,03-15
不跌个10%，好意思说你是科技股？,03-15
$宁德时代(SZ300750)$早盘我就预测主力诱多拉高出货尾盘跳水！现在看股价,03-15
垃圾抽干了市场的水,03-15
今天大盘暴跌，怪不了宁王了。,03-15
$宁德时代(SZ300750)$机构真的会炒股吗？拉宁德时代？把大盘全部拉崩了，,03-15
$宁德时代(SZ300750)$缺德时代不死大盘暴跌不止,03-15
十年前超日太阳同样疯狂最终破产重组,03-15
今天上证惨，茅台平安招行神华集体打压指数,03-15
$宁德时代(SZ300750)$今天稳住了创业板，明天如果补跌呢？,03-15
$宁德时代(SZ300750)$90亿救宁德就没意思，还不如救几百只小盘股有作用,03-15
好奇害死人,03-15
这么硬有啥用啊,03-15
$宁德时代(SZ300750)$本周跌破400,03-15
$宁德时代(SZ300750)$还有一次诱多，再碰20线,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$拉这个是没人会追的，只有人会卖。,03-15
$宁德时代(SZ300750)$逆市大涨有你补跌的时候,03-15
厉害了,03-15
大盘单边杀，我配置了 300750宁德时代 !仅供参考,03-15
$宁德时代(SZ300750)$很明显的，主力都套住了，其他报团股都在跌，他不想,03-15
$宁德时代(SZ300750)$很明显的，主力都套住了，其他报团股都在跌，他不想,03-15
今天再不走太了,03-15
$宁德时代(SZ300750)$宁德20个跌停后大盘才能企稳。,03-15
$宁德时代(SZ300750)$宁德20个跌停后大盘才能企稳。,03-15
凝望,03-15
一百多倍市盈率,03-15
宁王不跌大盘不止,03-15
有人在护盘！,03-15
$上证指数(SH000001)$$贵州茅台(SH600519)$$宁德时代(SZ,03-15
$宁德时代(SZ300750)$向宁王致敬,03-15
要不是你这家伙死扛创业板最少跌4个点,03-15
大A基石，股价坚挺,03-15
宁王牛逼呀,03-15
没用的,03-15
$宁德时代(SZ300750)$350企稳,03-15
这都能撑得住,03-15
$宁德时代(SZ300750)$基金经理硬抗着，补跌在后头,03-15
$宁德时代(SZ300750)$上500才有希望,03-15
$宁德时代(SZ300750)$宁王加油！加油！力挺力挺力挺,03-15
$宁德时代(SZ300750)$宁德时代要跌不到4000亿市值，整个盘面不会走涨,03-15
今天你撑得真不易,03-15
现在入手科技只要还是两大块主流赛道呗，新能源和医药拿住他们至少中期已经选对了方向,03-15
$宁德时代(SZ300750)$还是宁德有良心权重股这个时候在护盘,03-15
$宁德时代(SZ300750)$拉兄弟一把,03-15
$宁德时代(SZ300750)$坚挺,03-15
$宁德时代(SZ300750)$这是要暴跌的走势,03-15
为了荣誉你也该稳住了,03-15
曾老板，国家让你赚了这么多钱，拿点钱出来回购注销，救救大盘。,03-15
$宁德时代(SZ300750)$给机会走，还不走,03-15
中创新航拟赴港上市：“黑马”能否撼动“宁王”？,03-15
广州二十一世纪信息技术有限公司,03-15
$宁德时代(SZ300750)$真的不需要外资这回只能靠自己了,03-15
$宁德时代(SZ300750)$创业板你是大哥大,03-15
看到它好恶心,03-15
每次总想着大盘见底了  可是瞅了瞅宁德 哎 还早着呢,03-15
$宁德时代(SZ300750)$救宁德的资金救小盘股可以救几百只股，看上去就没这,03-15
转发,03-15
算是黑马吗？,03-15
拉它肯定失败,03-15
$宁德时代(SZ300750)$你还在涨！？？准备明天砸盘的？,03-15
对外资搞利益输送，坏机构。,03-15
滚,03-15
$宁德时代(SZ300750)$爱尔眼科抄底,03-15
$宁德时代(SZ300750)$向宁王致敬,03-15
今天还能红没天理，明天补跌,03-15
虽然不喜欢你，但感觉酒茅那才是大顶，你这未来还能折腾好多年呢。,03-15
$宁德时代(SZ300750)$宁德开始反攻,03-15
$宁德时代(SZ300750)$今天必须红，尾盘拉升，涨停,03-15
$宁德时代(SZ300750)$2.30小宁子砸盘小心，直奔240,03-15
如何提高股市分析能力――【市值=净利润*估值】升级版解读（中）,03-15
$宁德时代(SZ300750)$如果盘面上宁德时代想涨那么大家就洗洗睡了，这主力,03-15
全市场最大的雷宁德时代,03-15
你觉得阻力在哪呢？,03-15
别护了，怎么都是死路一条,03-15
基建也在慢慢回稳,03-15
跌回高点一半[得意],03-15
快跌，跌下来大盘见底，从头开始,03-15
等待构筑,03-15
最愚蠢的就是拉宁德，你拉大金融个股都会跟上，宁德这么高的位置，一拉别的股票肯定都,03-15
镍价暴涨扰动市场 宁德时代股价仅为20天前券商给出目标价的一半,03-15
稳住别绿,03-15
高位抱团股跌势不止 卖方机构唱多热情未减,03-15
护盘你都护不住，那明天只好跑了,03-15
垃圾货色,03-15
来一点。。玩玩。。,03-15
$宁德时代(SZ300750)$明天跌停,03-15
$宁德时代(SZ300750)$跌吧，还远没有到位。,03-15
$宁德时代(SZ300750)$大哥，撑住啊[哭],03-15
预计3000左右会反弹积蓄下跌动能,03-15
$宁德时代(SZ300750)$不拉指数拉宁德？,03-15
