大宁今天砸的话，那就是双峰贯耳了，左右开弓更有节奏感，更有持续性,03-16
$宁德时代(SZ300750)$克服恐惧，大胆买入，坚定信心，长期持有，必有厚报,03-15
$宁德时代(SZ300750)$嘎嘎创业板指数完全被他左右,03-15
宁德不腰斩大盘不止跌,03-15
主力获利巨大,03-15
掩护外资出货的吧,03-15
转发,03-15
全仓宁德时代，维稳必须拉他,03-15
$宁德时代(SZ300750)$今天很争气了，靠着宁王提着一口气,03-15
全市场全靠你了宁王。。。,03-15
该跌不跌，必有暴跌,03-15
明天轮到这s币表演,03-15
$宁德时代(SZ300750)$宁德不值460，宁德250股价正好。[微笑],03-15
$宁德时代(SZ300750)$跌不跌不是你说的算？是钱说的算。求你们别再买了。,03-15
$宁德时代(SZ300750)$主力应该拉宁德，稳大盘,03-15
这股也就7.80块钱，如果业绩变脸，那就是几块钱,03-15
下跌趋势，装什么装,03-15
qq的市值 都跌了一半，宁王还没到位,03-15
快跑，护不住了。,03-15
不要怂啊，下午怂啥,03-15
国家队再一次选择拉宁德时代，逃命的机会再一次来临，我就剩最后1手,03-15
一百多倍的市盈率，还早呢！,03-15
上证新低了，等你带领创业板超越新低！,03-15
$宁德时代(SZ300750)$抱团的机构必将一地鸡毛。基金经理本质就是笑话，卖,03-15
亏了一点点，先走了。。。。,03-15
现在对新能源车有两大利好:1、俄乌战争，油价飞涨2、工信部延续新能源车补贴政策。,03-15
$宁德时代(SZ300750)$加油！,03-15
$宁德时代(SZ300750)$300元应该企稳,03-15
$宁德时代(SZ300750)$180等你,03-15
$宁德时代(SZ300750)$啧啧称奇,03-15
护盘就靠你了[上涨][上涨][上涨],03-15
转发,03-15
$宁德时代(SZ300750)$宁德下来了，做空全胜,03-15
割肉空仓了,03-15
肯定暴涨。电池行业竞争激烈。供大于求，原材料暴涨。业绩肯定暴跌。不要怕。股价暴涨,03-15
$宁德时代(SZ300750)$$中国平安(SH601318)$$中信证券(SH,03-15
$宁德时代(SZ300750)$大家都不要买。它还会往上拉的。国内的机构都去国外,03-15
上年买的基金，最高利润50%，现在剩下7%了，卖不卖啊？,03-15
V时过早，继续等待,03-15
小姐姐看到300元，小姐姐PK四大机构，首创看400元、瑞银看700元、华创证券,03-15
$宁德时代(SZ300750)$千万要挺住你是大家的希望,03-15
$宁德时代(SZ300750)$200n以下再看吧,03-15
$宁德时代(SZ300750)$宁王创业板靠你撑起半天边了，加油！,03-15
$宁德时代(SZ300750)$脊磐淞[捂脸],03-15
$宁德时代(SZ300750)$这货不能放弹，它一跌又把大盘带崩。,03-15
上年买的基金，最高利润50%，现在剩下7%了，卖不卖啊？,03-15
你的估值现在是天价，三个腰斩起步,03-15
$宁德时代(SZ300750)$炒高这些股就一祸害，A50指数就被它们带沟里了，,03-15
3年20倍，拿什么拯救你，剁到你的菠萝盖,03-15
创强沪弱，宁王先企稳，电子身份证继续嗨,03-15
独立基金观察员,03-15
$宁德时代(SZ300750)$垃圾，低下你那低廉的头，龙头狗熊样,03-15
没本事，全靠骗，一群垃圾,03-15
$宁德时代(SZ300750)$不要看宁德现在相对抗跌，大盘真企稳了，就是震荡出,03-15
这才哪到哪？70多盘完上来的，就是在下跌的时候卖给你。你要想清楚。,03-15
电子身份证板块领涨两市！沪指跌逾2%创新低，该如何应对――骑牛看熊3月15日投资逻辑午评,03-15
独立财经评论员,03-15
$宁德时代(SZ300750)$上联：中概岌岌可危无人问，下联：宁王昨夜黄花有人,03-15
$宁德时代(SZ300750)$是人都知道中概才是漩涡中心，竟然有人傻到拿人家的,03-15
$宁德时代(SZ300750)$操盘策略300750宁德时代引领新能源等题材止跌,03-15
300750 宁德时代 龙头走势 影响399006 创业板指数 盯紧 宁王,03-15
看清市场，300打头首选，午后怎么玩；盯死 300750 宁德时代 进出、,03-15
业绩暴增10倍，“有锂”还能走多远？,03-15
天弘基金管理有限公司,03-15
大势所趋，护不住的，否极泰来才是正道  懂  等的就是物极必反,03-15
真股王[献花],03-15
掩护外资跑路,03-15
你一步到位才整个深证止跌,03-15
$盐湖股份(SZ000792)$盐湖股份：钾肥之王！$西部矿业：3万吨碳酸锂，盐,03-15
尽力了,03-15
今日特点避开散户，高价股逆势活跃。,03-15
机构唱多，那就是要卖出的信号,03-15
瀚川智能研究报告：汽车电子设备龙头，切入换电设备,03-15
财经自媒体,03-15
创业板有没有救全看你一个了，加油吧,03-15
这个股对指数影响太大了，感觉拉他是为了掩护出货呢,03-15
$宁德时代(SZ300750)$宁德时代到处找锂盐和锂矿，其实眼前就有，雅化集团,03-15
$宁德时代(SZ300750)$这个货水分太高，一般人轻易不要碰。玩不起的。,03-15
涨停,03-15
还瞎炒，这能好吗？一个破电池一瓶破白酒！真他奶奶的奇葩！,03-15
$宁德时代(SZ300750)$就是个电池大作坊，500块的股价也是天下奇谈了,03-15
宁德时代一、市盈率107，过高，缺乏想象空间。二、近一周北向资金大幅卖出。三、疫,03-15
碳中和ETF159790最后要实现的是零碳时代，这个高度可想而知，又是我们国家能,03-15
宁王跌停有这可能吗？,03-15
新冠药板块强者恒强！指数跌“麻木”了，机构资金在买什么――骑牛看熊3月14日淘金收评,03-15
独立财经评论员,03-15
宁德时代，军工＋核电！快抄底中国广核！,03-15
纯电续航排名出炉！广汽埃安前五占两，特斯拉Model Y 倒数第一,03-15
广州功夫新媒体网络科技有限公司,03-15
$宁德时代(SZ300750)$老乡别走，中信证券认为宁德时代合理估值为500，,03-15
【资讯早知道】2月装车量再超三元锂电：王传福一语成谶、“妖镍作祟”下磷酸铁锂电池迎来春天？,03-15
嘉实基金管理有限公司,03-15
转发,03-15
不相信宁王的大底部会在300[好困惑][好困惑][好困惑][拜神][拜神],03-15
翻了几倍了太高了,03-15
触底反弹开始了。对新能源我一直是持有坚持就是胜利的观点，昨天调整期间我加了把仓位,03-15
A股核心资产50！坚定拥抱A股核心资产，迎接资产泡沫大时代[22/03/14],03-15
通联数据股份公司,03-15
说实话，宁德不该拉，这明显是护盘，到时候还得跌，而且跌的更多,03-15
宁王果然是真王，下午又要暴涨了[拜神][拜神][献花][献花],03-15
市场不好，报团在新能源赛道才能安全！,03-15
股价三折合理,03-15
$宁德时代(SZ300750)$垃圾主力,03-15
新能源车强势翻红,03-15
发现一个很不好的现象，主力居然还在茅台宁德时代护盘，把资金吸引去给北向接盘，如果,03-15
我的愿望很朴实，宁德跌到200，隆基跌到30。那时这个市场会变得很干净，很公平。,03-15
$宁德时代(SZ300750)$400以下见,03-15
2月装车量再超三元锂电：王传福一语成谶、“妖镍作祟”下磷酸铁锂电池迎来春天？,03-15
界面（上海）网络科技有限公司,03-15
$宁德时代(SZ300750)$$盐湖股份(SZ000792)$盐湖股份：钾肥之,03-15
无论你怎么秀，也不会上当,03-15
$宁德时代(SZ300750)$拉宁德时代说明还有大跌。,03-15
$宁德时代(SZ300750)$向下趋势不变，反弹是小散出货良机！,03-15
今天随垃圾股宁德时代现价477元大涨的股注意了，明天空军总司令雨朦胧多会投降空头,03-15
指数下来怎么办，快拉宁德时代啊,03-15
每天自动产生差价，这个方法挺好的,03-15
不到400以下，难见底,03-15
$宁德时代(SZ300750)$450基本是短期底部，我在这里连续买了几次了，拉,03-15
$宁德时代(SZ300750)$龙头就这怂样，还不如德方纳米呢,03-15
别慌，XX证券公司前阵子研报说：宁德时代目标股价700元/股，,03-15
救救,03-15
护盘行情，不买你还买谁？入手五成仓[握手],03-15
【聚焦核心】汇集全球视野，洞见中国未来，A50ETF159601布局A股核心资产。【20220311】,03-15
护盘？,03-15
宁德时代相信昨天在雨朦胧指定的价位472元附近(469元)在今天宁德大涨到480,03-15
定海神针必须站住,03-15
$宁德时代(SZ300750)$创业板要反弹，必须拉宁德,03-15
怎么可能是护盘，诱多或者波段，都是在自嗨，呵呵,03-15
要不是宁王，创业板指已经到2000,03-15
$宁德时代(SZ300750)$融资越来越多，不能再往下了。我都要爆仓了。,03-15
$宁德时代(SZ300750)$为什么宁王会红，拉指数股让大家没那么恐慌，然后主,03-15
联赢激光研究报告：激光焊接领域专家，锂电助力业绩高增,03-15
财经自媒体,03-15
好多人一市场波动就有点慌，我买创成长ETF159967刚好相反，他本来就是着重成,03-15
宁王没有恐慌盘市场永远见不了底,03-15
你是盐湖提锂吗？,03-15
$宁德时代(SZ300750)$国家队来救世的话，肯定来拉大盘，所以创业板要不要,03-15
$宁德时代(SZ300750)$每一次反弹都是卖出的好时机,03-15
$江特电机(SZ002176)$江特电机：锂矿！锂之王！盐湖股份：钾肥之王！西部,03-15
就知道会暴拉宁德腌盖大跌，果然，我抄底宁德了，快叫我股神，哈哈哈哈,03-15
又吃肉了，我预判了你的预判[胜利],03-15
昨天新能源有了调整，自然就会有低估差，后续的价值反弹会被放大，我肯定是要继续补仓,03-15
熊市的特点就是跌了再跌，大家要小心控制风险！,03-15
还没有跌到位，大股票都还要再下行一段时间空间。,03-15
$宁德时代(SZ300750)$宁德指数！！！,03-15
今日宁王如果不护盘，恐慌发生踩踏。,03-15
$宁德时代(SZ300750)$又在拉指数,03-15
指数被这些权重股绑架了，拉升时候你们舒服，现在跌了大家跟着受罪。,03-15
大家一起来拉指数,03-15
$宁德时代(SZ300750)$反弹，**的好时机啊,03-15
$宁德时代(SZ300750)$抓到一只大妖怪，没抓到浙江建投，就赶紧买罗欣药业,03-15
$宁德时代(SZ300750)$还是宁德威武！股指重器！加油,03-15
钱多你们就往里填，正好深股通跑不掉，你们互道珍重吧  哈哈哈哈,03-15
下跌趋势已成,03-15
垂死挣扎,03-15
一支画笔忽悠,03-15
$宁德时代(SZ300750)$国内机构，这是要给北上外资解套。。。,03-15
急速拉升也是垂si挣扎,03-15
拉吧，看你最后怎么死，不信你子弹这么多,03-15
宁王救市,03-15
宁指数,03-15
$宁德时代(SZ300750)$跌停板,03-15
$宁德时代(SZ300750)$靠。再跌啊。。别往上走呢。,03-15
宁德稳住就行了，特么拉这么高干嘛？,03-15
$宁德时代(SZ300750)$这才是新能源龙头，比亚迪的狗托还说今年超过宁德时,03-15
二次调整到位，买！,03-15
我虽然没买宁王，但是我要代表创业板谢谢你,03-15
$宁德时代(SZ300750)$光拉宁德时代力量不够，要把广发中信拉上去,03-15
最后出货的机会,03-15
$宁德时代(SZ300750)$感觉是国家队出手了！,03-15
还是你有点脊梁,03-15
$宁德时代(SZ300750)$跟其它业绩好的比没跌到位，得破四百才合理,03-15
$宁德时代(SZ300750)$之前天天骂你，最后还是你一人抗下了所有,03-15
下跌过程中的任何反弹都是吸筹,03-15
这种特么早跌早好,03-15
$宁德时代(SZ300750)$今天拉个涨停，大A的雄安,03-15
$宁德时代(SZ300750)$真不知道后面以何种方式[怒]出货,03-15
$宁德时代(SZ300750)$关键时刻还得宁王,03-15
$宁德时代(SZ300750)$创业板给你拉红了,03-15
川能动力：亚洲第一锂矿！风力发电、光伏发电和锂矿开发。其中，风电及光伏已投产装机,03-15
$宁德时代(SZ300750)$宁德带头反攻，冲冲冲,03-15
$宁德时代(SZ300750)$红领巾来了,03-15
$宁德时代(SZ300750)$创业板指就是宁德时代指数,03-15
重磅消息：翰宇药业300199：已完成对奥密克戎及德尔塔主要流行株的活毒研究抑制,03-15
锂电池行业专题报告：预锂化，物尽其用的愿望,03-15
财经自媒体,03-15
$宁德时代(SZ300750)$249元以下接盘,03-15
宁德时代走熊，创业板走熊，宁德时代走牛，创业板走牛，不服不行了！,03-15
拉个涨停如何,03-15
$宁德时代(SZ300750)$82.5我觉得都还高。因为上市公司上市就是为了套,03-15
宁德时代3月15日快速反弹,03-15
今天锂电护盘当仁不让，很多锂电小市值股票从昨天就开始拒绝下跌了，押注开始，冲冲冲,03-15
$宁德时代(SZ300750)$牛比,03-15
$宁德时代(SZ300750)$再一次感受到妈爱，不知道妈妈明天还来不来,03-15
只要最大的空头，不跌大盘就没有事,03-15
牛逼克拉斯，太疯狂了，本土没发生什么大事，指数也没大涨过，注册制也没开始，股票池,03-15
宁德现价480元，怕的朋友短线可以跑一点了这下雨朦胧总算可以不吃42767斤大,03-15
$宁德时代(SZ300750)$什么时候不靠拉宁德了熊市才会结束，靠拉宁德还是先,03-15
$宁德时代(SZ300750)$危险股，在诱多,03-15
护盘的机构是怕外资逃跑卖不到好价钱吗？,03-15
作死的节奏，又拉泡沫股护盘。,03-15
宁德基金在自救哈哈哈哈给我抛,03-15
$宁德时代(SZ300750)$宁德这么牛，都不敢公布一季度业绩预告啊。哈哈,03-15
300750,03-15
$宁德时代(SZ300750)$昙花一现下跌趋势中,03-15
$宁德时代(SZ300750)$市盈率太高了,03-15
$宁德时代(SZ300750)$北上资金每天早上五分钟骗炮，宁德就别割韭菜了。,03-15
宁德表示老子尽力了，奈何主力做空力量太大。,03-15
$宁德时代(SZ300750)$拉涨停吧,03-15
中概股耻辱一夜！满地找牙引发深思！,03-15
知名财经自媒体,03-15
下来吧，一个涨有你的意思[微笑],03-15
今天涨的都是英雄，买入的人我都给他她点赞，核心资产股票一股都不卖，抵抗西方资本掠,03-15
$宁德时代(SZ300750)$装继续装，你说你们抱团吃了多少筹码，拉不出来吧，,03-15
$宁德时代(SZ300750)$150元,03-15
传说中的“高位震荡吸筹”,03-15
$宁德时代(SZ300750)$牛,03-15
$宁德时代(SZ300750)$肯定要回一下400的,03-15
众泰散户走了，空苟又开始叫唤了,03-15
宁王，你要挺住啊,03-15
$宁德时代(SZ300750)$诱多，我跑了，止损了，这跌起来没底了,03-15
$宁德时代(SZ300750)$居然还这么坚挺，这形势，宁德时代不跌到位，大盘应,03-15
拉宁德创业板就不会跌了,03-15
顺势跌送外资走好？国内这些机构就是不行,03-15
$宁德时代(SZ300750)$宁德时代护盘无异于饮鸩止渴,03-15
$宁德时代(SZ300750)$一股左右创业板指数,03-15
$宁德时代(SZ300750)$大涨1%,03-15
$宁德时代(SZ300750)$护盘了,03-15
今天应该可以涨停，赶紧买入,03-15
考宁德救市,03-15
$宁德时代(SZ300750)$每一次反弹都是减仓的机会。,03-15
一群棒槌，钱都砸水里了。牛逼,03-15
开始拉宁德了,03-15
昨天尾盘满仓满融宁德时代今天吃大肉,03-15
$宁德时代(SZ300750)$再跌90%，差不多了,03-15
$宁德时代(SZ300750)$宁德一拉稀里哗啦,03-15
$宁德时代(SZ300750)$拉单票就是害人啊,03-15
今天破位就好看了 左看JG怎么自救,03-15
别进，现在进是套,03-15
$宁德时代(SZ300750)$千股跌！,03-15
大奇迹日来了，搞,03-15
$宁德时代(SZ300750)$随便跌，赚400元一股,03-15
抢到就是赚到？这家速冻食品龙头57亿定增落地，公募、外资巷战式抢筹,03-15
河南大河财立方传媒控股有限公司,03-15
转发,03-15
抱团股要崩,03-15
$宁德时代(SZ300750)$这一次就让你价值回归，虚高太多了，上游锂矿才是未,03-15
锂电池迟早被淘汰,03-15
故意的啊低开这么少开盘了再大跌,03-15
在极低价买入宁德是每个喊空小散的梦想！400，350，300，100，25的都有,03-15
六十万股换三倍002761牛基建？还是换水泥呀？基建水泥一家人，哪个水泥股业绩会,03-15
智能电动车ETF成份股2021年业绩预告最新合集来啦：33只公告成份股预喜！,03-15
$宁德时代(SZ300750)$市场太恐怖,03-15
实在不行停牌几天吧,03-15
今天又有新低！,03-15
$宁德时代(SZ300750)$有人嘴很老，说什么宁股还能涨现在不说话了,03-15
从1元钱跌到1毛钱,03-15
中创新航赴港上市，排名第二的装机量规模距离宁德时代有多远？,03-15
北京赤厘文化科技有限公司,03-15
$宁德时代(SZ300750)$今天宁德定海神针,03-15
$宁德时代(SZ300750)$宁德时代今天会跌停吗？,03-15
侠之大者，宁德接盘,03-15
已经是底部了，怎么走都是向上,03-15
$宁德时代(SZ300750)$张磊价值投资，宁德时代我看到1000元一股！,03-15
深V之后，A股何去何从？,03-15
知名财经自媒体,03-15
宁德时代：缩量又有得干,03-15
这货是最大的空头！！！,03-15
这股是科技的代表，这种股票涨起来，国家才有希望，虽然我没买，但我还是希望他能涨。,03-15
“杀猪盘票”有一个共同特点：杀猪前市净率都高于6倍。低于2倍市净率的票从未见过。,03-15
宁德时代：融资净买入6718.37万元，两市排名第19（03-14）,03-15
【资讯早知道】券商晨会精华：静待景气回归，电动车版块迎来长期布局机会,03-15
嘉实基金管理有限公司,03-15
2月装车量再超三元锂电：王传福一语成谶、“妖镍作祟”下磷酸铁锂电池迎来春天？,03-15
何不买点中航锂电的原始股东中航产融？,03-15
大族激光,03-15
上次报完警，怎么就没下文了，……,03-15
$宁德时代(SZ300750)$不到350不停歇,03-15
$宁德时代(SZ300750)$散户很少，都是主力相互拆台,03-15
一位瓜农的西瓜田每天晚上都被小偷光顾，　  他想了很久，终于想到一个好办法。,03-15
现在是熊市，要大家谨慎，不出意外以后下跌幅度会很大,03-15
搅棍,03-15
皮包公司，跌破净资产,03-15
华为、宁德时代、长安联手打造的阿维塔11实车亮相,03-15
$宁德时代(SZ300750)$油价开始跌了，宁王该如何抉择？,03-15
看看蔚小理跌成什么样，这个宁德时代价格太高了！,03-15
$宁德时代(SZ300750)$今天370元会到吗？,03-15
宁德时代成了北上资金做空A股的工具了，打压宁德时代、招商银行、中国平安，利用股指,03-15
$宁德时代(SZ300750)$今天370元会到吗？,03-15
再跌六个点，我钱够了收购他们[大笑]卖电池喽[大笑]快来买我电池,03-15
大批鸡金都被埋了，抄他们的后路～等他们自救，获利走人,03-15
转发,03-15
$宁德时代(SZ300750)$今天只做一件事，就是把昨天做T的补仓的持仓股，在,03-14
宁德时代03月14日被深股通减持90.52万股,03-14
理想汽车（美股）收盘暴跌20%。新能源彻底被外资抛弃。宁德现在是比谁跑的快的时候,03-14
央行降息(中美政策相对)，一有冲高，证券上涨时你还是要跑人为好，到时雨朦胧会要开,03-14
刷屏！“医药女神”遭400亿巨额赎回？重仓股双双重挫 紧急声明来了 未来怎么走？,03-14
$宁德时代(SZ300750)$只要是泡沫，就一定会破裂美丽的泡沫虽然一刹花火你,03-14
$宁德时代(SZ300750)$宁德时代市值800亿可以考虑,03-14
450元，我半仓买入。490元，我再抛出。反复做T，利润丰厚。,03-14
市值还有一万亿，早着呢！,03-14
套中套,03-14
经过上周的折磨，昨天开门又来了一记重锤，相信很多人又是默默关灯吃面。沪深300跌,03-14
本来也就值五六十块,03-14
喵喵喵,03-14
明天下午地天板,03-14
“宁王”不再[为什么],03-14
$宁德时代(SZ300750)$就这趋势，今年怎么炒,03-14
全球宏观环境与 2010-2011 年较为相似，全球经济受到意外冲击进入衰退经济周期后，海外各国采取宽松的货币政策+积极的财政政策促进经济开始恢复，处于经济复苏的中后期、过热的前期。国内环境又与 20,03-14
环讯传媒金融风险管理师,03-14
年产镍钴铜锌铅58.2万吨、多晶硅4100吨，却甘做“包工头”目的何为？,03-14
股吧里有意思[大笑]胡说八道,03-14
国轩高科是业内除宁德时代，在锂资源端有一定布局的电池企业。公司在宜春的碳酸锂项目,03-14
独立财经评论员,03-14
宁王，地位依旧稳如泰山,03-14
新能源动力电池巨头「中创新航」递表港交所，能否掀起认购狂潮 ？,03-14
$宁德时代(SZ300750)$从青山镍事件到中概股崩盘等种种迹象表明，外资正在,03-14
